name,employeetype,email,phonenum
Efram Formhals,cashier,eformhals973@gmail.com,(499) 896-9503
Laurette Newbern,cashier,lnewbern701@gmail.com,(896) 698-1165
Leslie Soto,cashier,lsoto603@gmail.com,(800) 573-4960
Carlin Imoto,cashier,cimoto489@gmail.com,(352) 844-6814
Ralina Squier,cashier,rsquier411@gmail.com,(774) 642-0171
Anatoly Llams,cashier,allams605@gmail.com,(402) 637-6248
Emmalynn Heuangvilay,cashier,eheuangvilay731@gmail.com,(424) 294-0197
Cori Toalson,cashier,ctoalson770@gmail.com,(216) 675-3717
Aime Repetowski,cashier,arepetowski953@gmail.com,(212) 254-6212
Rivi Ghaemmaghami,cashier,rghaemmaghami804@gmail.com,(681) 407-4597
Astra Filzen,cashier,afilzen606@gmail.com,(296) 806-0261
Dayna Chriss,cashier,dchriss753@gmail.com,(246) 387-1679
Lauraine Avilez,cashier,lavilez640@gmail.com,(911) 989-3403
Myles Brumbley,cashier,mbrumbley695@gmail.com,(906) 864-0746
Ree Dornhelm,cashier,rdornhelm437@gmail.com,(359) 757-8816
Gerhard Delpit,cashier,gdelpit990@gmail.com,(353) 046-0760
Alessandra Bennington,cashier,abennington301@gmail.com,(290) 000-4986
Dominique Stricklin,cashier,dstricklin693@gmail.com,(969) 732-5378
Sallie Katie,manager,skatie144@gmail.com,(635) 850-4372
